HBM_CATMAN_DATAFILE_40

3/8/2011
13:33
CHANNELS: 4
SEPARATOR: 9
MAXLINES: 1600               

Time DEVICE_1 (Sample rate 1)	Fx8113	Fx8111	Speed_X
s	N	N	m/s
3/8/2011-13:33	3/8/2011-13:33	3/8/2011-13:33	3/8/2011-13:33
			
T0 =08.03.11 13:33:11	T0 =08.03.11 13:33:11	T0 =08.03.11 13:33:11	T0 =08.03.11 13:33:11
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 3	CH 4	CH 16 - 3
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 	Serial No. (Electronics / CP)059181052111 / 804325236
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML801 Multichannel board ID=5015
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	DC 10V (AP801) ID=5506
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	DC 10 V ID=426
x1=0 y1=0;x2=0 y2=0	x1=0.7336 y1=0;x2=2.7336 y2=77.02	x1=0.1781 y1=0;x2=2.1781 y2=55.3	x1=0 y1=0;x2=10 y2=3.125
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	V IN     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	m/s      (Engin.)
0  Nominal value	77.02 N Nominal value	55.3 N Nominal value	3.125 m/s Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	No excitation ID=10
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	-10.87076 N Zero	0.4109481 N Zero	-6.319173E-03 m/s Zero
0  Tare	-8.3012 N Tare	-19.2536 N Tare	-0.0001 m/s Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 m/s Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	0.010	1.108	-0.212
0.020	0.012	0.873	-0.212
0.040	0.017	0.356	-0.212
0.060	0.023	-0.238	-0.212
0.080	0.028	-0.697	-0.212
0.100	0.029	-0.864	-0.212
0.120	0.026	-0.618	-0.212
0.140	0.021	-0.079	-0.212
0.160	0.014	0.558	-0.212
0.180	0.010	1.030	-0.212
0.200	0.007	1.195	-0.212
0.220	0.010	1.053	-0.212
0.240	0.013	0.640	-0.212
0.260	0.019	0.118	-0.212
0.280	0.023	-0.339	-0.212
0.300	0.026	-0.620	-0.212
0.320	0.026	-0.641	-0.212
0.340	0.024	-0.423	-0.212
0.360	0.019	-0.030	-0.212
0.380	0.015	0.423	-0.212
0.400	0.010	0.871	-0.212
0.420	0.007	1.136	-0.212
0.440	0.008	1.092	-0.212
0.460	0.011	0.717	-0.212
0.480	0.017	0.130	-0.212
0.500	0.023	-0.442	-0.212
0.520	0.027	-0.796	-0.212
0.540	0.027	-0.778	-0.212
0.560	0.022	-0.368	-0.212
0.580	0.015	0.284	-0.212
0.600	0.008	0.919	-0.212
0.620	0.005	1.268	-0.212
0.640	0.005	1.200	-0.212
0.660	0.010	0.736	-0.212
0.680	0.018	0.060	-0.212
0.700	0.024	-0.562	-0.212
0.720	0.028	-0.896	-0.212
0.740	0.026	-0.805	-0.212
0.760	0.022	-0.371	-0.212
0.780	0.015	0.230	-0.212
0.800	0.009	0.808	-0.212
0.820	0.005	1.148	-0.212
0.840	0.005	1.166	-0.212
0.860	0.008	0.863	-0.212
0.880	0.014	0.357	-0.212
0.900	0.019	-0.184	-0.212
0.920	0.023	-0.594	-0.212
0.940	0.024	-0.707	-0.212
0.960	0.021	-0.488	-0.212
0.980	0.016	-0.019	-0.212
1.000	0.010	0.528	-0.212
1.020	0.006	0.947	-0.212
1.040	0.004	1.098	-0.212
1.060	0.005	0.954	-0.212
1.080	0.010	0.545	-0.212
1.100	0.015	0.004	-0.212
1.120	0.020	-0.481	-0.212
1.140	0.023	-0.766	-0.212
1.160	0.022	-0.726	-0.212
1.180	0.019	-0.403	-0.212
1.200	0.013	0.133	-0.212
1.220	0.007	0.686	-0.212
1.240	0.003	1.060	-0.212
1.260	0.002	1.151	-0.212
1.280	0.005	0.919	-0.212
1.300	0.009	0.462	-0.212
1.320	0.014	-0.054	-0.212
1.340	0.018	-0.451	-0.212
1.360	0.020	-0.600	-0.212
1.380	0.018	-0.469	-0.212
1.400	0.015	-0.137	-0.212
1.420	0.011	0.246	-0.212
1.440	0.008	0.554	-0.212
1.460	0.006	0.707	-0.212
1.480	0.005	0.716	-0.213
1.500	0.006	0.591	-0.213
1.520	0.008	0.371	-0.213
1.540	0.011	0.104	-0.213
1.560	0.013	-0.145	-0.212
1.580	0.014	-0.281	-0.212
1.600	0.014	-0.264	-0.212
1.620	0.012	-0.063	-0.212
1.640	0.009	0.234	-0.212
1.660	0.006	0.502	-0.212
1.680	0.005	0.616	-0.212
1.700	0.007	0.490	-0.212
1.720	0.010	0.185	-0.212
1.740	0.012	-0.131	-0.212
1.760	0.013	-0.273	-0.212
1.780	0.012	-0.178	-0.212
1.800	0.008	0.101	-0.213
1.820	0.005	0.444	-0.213
1.840	0.002	0.702	-0.213
1.860	0.002	0.756	-0.212
1.880	0.003	0.558	-0.212
1.900	0.007	0.201	-0.212
1.920	0.010	-0.149	-0.212
1.940	0.012	-0.376	-0.212
1.960	0.011	-0.412	-0.212
1.980	0.009	-0.254	-0.212
2.000	0.005	0.054	-0.212
2.020	0.001	0.417	-0.212
2.040	-0.002	0.719	-0.212
2.060	-0.004	0.874	-0.212
2.080	-0.004	0.804	-0.212
2.100	-0.002	0.540	-0.212
2.120	0.002	0.132	-0.212
2.140	0.006	-0.294	-0.212
2.160	0.008	-0.592	-0.212
2.180	0.009	-0.631	-0.212
2.200	0.006	-0.361	-0.212
2.220	0.001	0.092	-0.212
2.240	-0.005	0.598	-0.212
2.260	-0.010	0.959	-0.213
2.280	-0.012	1.067	-0.213
2.300	-0.010	0.882	-0.213
2.320	-0.007	0.471	-0.213
2.340	-0.003	-0.002	-0.212
2.360	0.001	-0.379	-0.212
2.380	0.003	-0.563	-0.212
2.400	0.002	-0.523	-0.212
2.420	0.000	-0.301	-0.212
2.440	-0.004	0.030	-0.212
2.460	-0.009	0.386	-0.212
2.480	-0.012	0.631	-0.212
2.500	-0.014	0.684	-0.212
2.520	-0.014	0.585	-0.212
2.540	-0.013	0.374	-0.212
2.560	-0.011	0.198	-0.212
2.580	-0.010	0.048	-0.212
2.600	-0.009	-0.006	-0.212
2.620	-0.010	0.000	-0.212
2.640	-0.009	0.014	-0.212
2.660	-0.010	0.054	-0.212
2.680	-0.010	0.026	-0.212
2.700	-0.010	-0.017	-0.212
2.720	-0.011	-0.001	-0.212
2.740	-0.012	0.076	-0.212
2.760	-0.015	0.259	-0.212
2.780	-0.016	0.450	-0.212
2.800	-0.018	0.581	-0.212
2.820	-0.018	0.584	-0.212
2.840	-0.016	0.410	-0.212
2.860	-0.014	0.139	-0.212
2.880	-0.012	-0.143	-0.212
2.900	-0.010	-0.328	-0.212
2.920	-0.011	-0.338	-0.212
2.940	-0.012	-0.196	-0.212
2.960	-0.015	0.038	-0.212
2.980	-0.018	0.289	-0.212
3.000	-0.020	0.473	-0.212
3.020	-0.021	0.562	-0.212
3.040	-0.020	0.529	-0.212
3.060	-0.020	0.400	-0.212
3.080	-0.018	0.204	-0.212
3.100	-0.017	0.003	-0.212
3.120	-0.015	-0.156	-0.212
3.140	-0.016	-0.252	-0.212
3.160	-0.015	-0.254	-0.212
3.180	-0.017	-0.135	-0.212
3.200	-0.019	0.114	-0.212
3.220	-0.023	0.422	-0.212
3.240	-0.025	0.658	-0.212
3.260	-0.027	0.732	-0.212
3.280	-0.025	0.602	-0.212
3.300	-0.023	0.295	-0.212
3.320	-0.019	-0.078	-0.212
3.340	-0.016	-0.388	-0.212
3.360	-0.016	-0.480	-0.212
3.380	-0.018	-0.325	-0.212
3.400	-0.022	0.030	-0.212
3.420	-0.026	0.432	-0.212
3.440	-0.030	0.702	-0.212
3.460	-0.031	0.732	-0.212
3.480	-0.029	0.483	-0.212
3.500	-0.024	0.077	-0.212
3.520	-0.021	-0.313	-0.212
3.540	-0.020	-0.479	-0.212
3.560	-0.022	-0.312	-0.212
3.580	-0.026	0.079	-0.212
3.600	-0.032	0.499	-0.212
3.620	-0.034	0.727	-0.212
3.640	-0.033	0.637	-0.212
3.660	-0.030	0.296	-0.212
3.680	-0.025	-0.155	-0.212
3.700	-0.024	-0.450	-0.212
3.720	-0.024	-0.475	-0.212
3.740	-0.028	-0.186	-0.212
3.760	-0.034	0.369	-0.212
3.780	-0.041	0.993	-0.212
3.800	-0.045	1.388	-0.212
3.820	-0.044	1.283	-0.212
3.840	-0.037	0.642	-0.212
3.860	-0.027	-0.283	-0.212
3.880	-0.018	-1.114	-0.212
3.900	-0.014	-1.582	-0.212
3.920	-0.015	-1.516	-0.212
3.940	-0.022	-0.932	-0.212
3.960	-0.034	0.023	-0.212
3.980	-0.045	1.028	-0.212
4.000	-0.056	1.805	-0.212
4.020	-0.059	2.106	-0.212
4.040	-0.056	1.820	-0.212
4.060	-0.047	0.978	-0.212
4.080	-0.033	-0.146	-0.212
4.100	-0.020	-1.223	-0.212
4.120	-0.013	-1.886	-0.212
4.140	-0.013	-1.901	-0.212
4.160	-0.021	-1.266	-0.212
4.180	-0.034	-0.208	-0.212
4.200	-0.048	0.937	-0.212
4.220	-0.060	1.849	-0.212
4.240	-0.065	2.265	-0.212
4.260	-0.063	1.998	-0.212
4.280	-0.053	1.144	-0.212
4.300	-0.040	-0.003	-0.212
4.320	-0.026	-1.123	-0.212
4.340	-0.018	-1.866	-0.212
4.360	-0.017	-1.981	-0.212
4.380	-0.025	-1.416	-0.212
4.400	-0.037	-0.351	-0.212
4.420	-0.051	0.806	-0.212
4.440	-0.061	1.733	-0.212
4.460	-0.067	2.152	-0.212
4.480	-0.064	1.910	-0.212
4.500	-0.056	1.147	-0.212
4.520	-0.045	0.064	-0.212
4.540	-0.033	-0.990	-0.212
4.560	-0.025	-1.696	-0.212
4.580	-0.024	-1.841	-0.212
4.600	-0.030	-1.295	-0.212
4.620	-0.040	-0.330	-0.212
4.640	-0.053	0.748	-0.212
4.660	-0.063	1.630	-0.212
4.680	-0.069	2.020	-0.212
4.700	-0.067	1.826	-0.212
4.720	-0.060	1.069	-0.212
4.740	-0.049	0.038	-0.212
4.760	-0.039	-0.935	-0.212
4.780	-0.031	-1.589	-0.212
4.800	-0.030	-1.623	-0.212
4.820	-0.036	-1.037	-0.212
4.840	-0.047	-0.074	-0.212
4.860	-0.059	0.936	-0.212
4.880	-0.067	1.636	-0.212
4.900	-0.069	1.773	-0.212
4.920	-0.064	1.306	-0.212
4.940	-0.054	0.391	-0.212
4.960	-0.043	-0.579	-0.212
4.980	-0.035	-1.274	-0.212
5.000	-0.032	-1.438	-0.212
5.020	-0.037	-1.003	-0.212
5.040	-0.045	-0.198	-0.212
5.060	-0.055	0.696	-0.212
5.080	-0.061	1.354	-0.212
5.100	-0.063	1.573	-0.212
5.120	-0.060	1.282	-0.212
5.140	-0.053	0.585	-0.212
5.160	-0.044	-0.244	-0.212
5.180	-0.035	-0.964	-0.212
5.200	-0.031	-1.335	-0.212
5.220	-0.033	-1.190	-0.212
5.240	-0.039	-0.595	-0.212
5.260	-0.047	0.259	-0.212
5.280	-0.055	1.044	-0.212
5.300	-0.059	1.513	-0.212
5.320	-0.059	1.496	-0.212
5.340	-0.053	0.988	-0.212
5.360	-0.045	0.218	-0.212
5.380	-0.036	-0.585	-0.212
5.400	-0.031	-1.134	-0.212
5.420	-0.029	-1.230	-0.212
5.440	-0.032	-0.872	-0.212
5.460	-0.038	-0.190	-0.212
5.480	-0.046	0.556	-0.212
5.500	-0.051	1.137	-0.212
5.520	-0.054	1.386	-0.212
5.540	-0.051	1.186	-0.212
5.560	-0.045	0.661	-0.212
5.580	-0.038	-0.003	-0.212
5.600	-0.033	-0.540	-0.212
5.620	-0.030	-0.741	-0.212
5.640	-0.030	-0.643	-0.212
5.660	-0.033	-0.311	-0.212
5.680	-0.035	0.069	-0.212
5.700	-0.038	0.338	-0.212
5.720	-0.038	0.489	-0.212
5.740	-0.038	0.475	-0.212
5.760	-0.037	0.390	-0.212
5.780	-0.036	0.281	-0.212
5.800	-0.034	0.145	-0.212
5.820	-0.033	0.080	-0.212
5.840	-0.031	0.048	-0.212
5.860	-0.031	0.067	-0.212
5.880	-0.031	0.111	-0.212
5.900	-0.030	0.078	-0.212
