HBM_CATMAN_DATAFILE_40

3/8/2011
13:11
CHANNELS: 4
SEPARATOR: 9
MAXLINES: 1540               

Time DEVICE_1 (Sample rate 1)	Fx8113	Fx8111	Speed_X
s	N	N	m/s
3/8/2011-13:11	3/8/2011-13:11	3/8/2011-13:11	3/8/2011-13:11
			
T0 =08.03.11 13:11:15	T0 =08.03.11 13:11:15	T0 =08.03.11 13:11:15	T0 =08.03.11 13:11:15
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 3	CH 4	CH 16 - 3
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 	Serial No. (Electronics / CP)059181052111 / 804325236
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML801 Multichannel board ID=5015
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	DC 10V (AP801) ID=5506
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	DC 10 V ID=426
x1=0 y1=0;x2=0 y2=0	x1=0.7336 y1=0;x2=2.7336 y2=77.02	x1=0.1781 y1=0;x2=2.1781 y2=55.3	x1=0 y1=0;x2=10 y2=3.125
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	V IN     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	m/s      (Engin.)
0  Nominal value	77.02 N Nominal value	55.3 N Nominal value	3.125 m/s Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	No excitation ID=10
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	-10.87076 N Zero	0.4109481 N Zero	-6.319173E-03 m/s Zero
0  Tare	-8.2689 N Tare	-19.2396 N Tare	0.0004 m/s Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 m/s Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	0.024	-1.618	-0.018
0.020	0.025	-1.655	-0.018
0.040	0.019	-1.132	-0.018
0.060	0.010	-0.253	-0.018
0.080	0.000	0.671	-0.018
0.100	-0.008	1.369	-0.018
0.120	-0.012	1.632	-0.018
0.140	-0.009	1.396	-0.018
0.160	-0.002	0.733	-0.018
0.180	0.007	-0.138	-0.018
0.200	0.016	-0.955	-0.018
0.220	0.022	-1.479	-0.018
0.240	0.022	-1.535	-0.018
0.260	0.018	-1.089	-0.018
0.280	0.009	-0.278	-0.018
0.300	-0.001	0.627	-0.018
0.320	-0.009	1.357	-0.018
0.340	-0.013	1.673	-0.018
0.360	-0.011	1.452	-0.018
0.380	-0.003	0.735	-0.018
0.400	0.007	-0.235	-0.018
0.420	0.017	-1.129	-0.018
0.440	0.023	-1.645	-0.018
0.460	0.023	-1.590	-0.018
0.480	0.016	-0.991	-0.018
0.500	0.007	-0.076	-0.018
0.520	-0.003	0.832	-0.018
0.540	-0.010	1.461	-0.018
0.560	-0.012	1.626	-0.018
0.580	-0.009	1.284	-0.018
0.600	-0.001	0.550	-0.018
0.620	0.008	-0.319	-0.018
0.640	0.017	-1.058	-0.018
0.660	0.021	-1.463	-0.018
0.680	0.021	-1.399	-0.018
0.700	0.015	-0.878	-0.018
0.720	0.007	-0.076	-0.018
0.740	-0.002	0.743	-0.018
0.760	-0.009	1.340	-0.018
0.780	-0.010	1.526	-0.018
0.800	-0.008	1.233	-0.018
0.820	0.000	0.535	-0.018
0.840	0.008	-0.335	-0.018
0.860	0.017	-1.096	-0.018
0.880	0.021	-1.489	-0.018
0.900	0.021	-1.375	-0.018
0.920	0.014	-0.796	-0.018
0.940	0.006	0.034	-0.018
0.960	-0.003	0.830	-0.018
0.980	-0.008	1.344	-0.018
1.000	-0.009	1.416	-0.018
1.020	-0.005	1.042	-0.018
1.040	0.003	0.361	-0.018
1.060	0.010	-0.397	-0.018
1.080	0.017	-1.009	-0.018
1.100	0.020	-1.291	-0.018
1.120	0.019	-1.153	-0.018
1.140	0.013	-0.638	-0.018
1.160	0.006	0.082	-0.018
1.180	-0.002	0.768	-0.018
1.200	-0.006	1.210	-0.018
1.220	-0.007	1.272	-0.018
1.240	-0.004	0.939	-0.018
1.260	0.003	0.308	-0.018
1.280	0.010	-0.410	-0.018
1.300	0.016	-0.977	-0.018
1.320	0.019	-1.204	-0.018
1.340	0.017	-1.023	-0.018
1.360	0.011	-0.503	-0.018
1.380	0.004	0.173	-0.018
1.400	-0.002	0.767	-0.018
1.420	-0.006	1.099	-0.018
1.440	-0.005	1.071	-0.018
1.460	-0.002	0.729	-0.018
1.480	0.004	0.183	-0.018
1.500	0.010	-0.399	-0.018
1.520	0.015	-0.857	-0.018
1.540	0.017	-1.055	-0.018
1.560	0.016	-0.924	-0.018
1.580	0.011	-0.485	-0.018
1.600	0.005	0.133	-0.018
1.620	-0.001	0.721	-0.018
1.640	-0.005	1.102	-0.018
1.660	-0.005	1.130	-0.018
1.680	-0.002	0.789	-0.018
1.700	0.004	0.182	-0.018
1.720	0.011	-0.474	-0.018
1.740	0.016	-0.952	-0.018
1.760	0.018	-1.088	-0.018
1.780	0.016	-0.843	-0.018
1.800	0.010	-0.326	-0.018
1.820	0.004	0.276	-0.018
1.840	-0.001	0.755	-0.018
1.860	-0.004	0.973	-0.018
1.880	-0.003	0.881	-0.018
1.900	0.000	0.558	-0.018
1.920	0.005	0.113	-0.018
1.940	0.010	-0.327	-0.018
1.960	0.013	-0.665	-0.018
1.980	0.015	-0.821	-0.018
2.000	0.014	-0.756	-0.018
2.020	0.011	-0.480	-0.018
2.040	0.007	-0.052	-0.018
2.060	0.002	0.407	-0.018
2.080	-0.002	0.775	-0.018
2.100	-0.004	0.922	-0.018
2.120	-0.002	0.784	-0.018
2.140	0.003	0.369	-0.018
2.160	0.008	-0.184	-0.018
2.180	0.014	-0.676	-0.018
2.200	0.016	-0.924	-0.018
2.220	0.015	-0.833	-0.018
2.240	0.011	-0.440	-0.018
2.260	0.005	0.097	-0.018
2.280	0.000	0.572	-0.018
2.300	-0.003	0.835	-0.018
2.320	-0.002	0.828	-0.018
2.340	0.000	0.598	-0.018
2.360	0.003	0.235	-0.018
2.380	0.008	-0.169	-0.018
2.400	0.012	-0.539	-0.018
2.420	0.014	-0.788	-0.018
2.440	0.015	-0.823	-0.018
2.460	0.012	-0.598	-0.018
2.480	0.008	-0.146	-0.018
2.500	0.002	0.405	-0.018
2.520	-0.003	0.886	-0.018
2.540	-0.005	1.112	-0.018
2.560	-0.003	0.973	-0.018
2.580	0.002	0.477	-0.018
2.600	0.009	-0.216	-0.018
2.620	0.016	-0.861	-0.018
2.640	0.020	-1.219	-0.018
2.660	0.019	-1.142	-0.018
2.680	0.014	-0.651	-0.018
2.700	0.006	0.067	-0.018
2.720	-0.002	0.745	-0.018
2.740	-0.006	1.155	-0.018
2.760	-0.006	1.179	-0.018
2.780	-0.002	0.849	-0.018
2.800	0.004	0.293	-0.018
2.820	0.010	-0.308	-0.018
2.840	0.015	-0.802	-0.018
2.860	0.017	-1.063	-0.018
2.880	0.017	-1.019	-0.018
2.900	0.013	-0.662	-0.018
2.920	0.007	-0.083	-0.018
2.940	0.000	0.552	-0.018
2.960	-0.005	1.061	-0.018
2.980	-0.007	1.270	-0.018
3.000	-0.005	1.080	-0.018
3.020	0.001	0.515	-0.018
3.040	0.008	-0.244	-0.018
3.060	0.016	-0.934	-0.018
3.080	0.020	-1.307	-0.018
3.100	0.019	-1.224	-0.018
3.120	0.014	-0.708	-0.018
3.140	0.006	0.043	-0.018
3.160	-0.002	0.754	-0.018
3.180	-0.006	1.183	-0.018
3.200	-0.007	1.212	-0.018
3.220	-0.003	0.864	-0.018
3.240	0.004	0.273	-0.018
3.260	0.010	-0.366	-0.018
3.280	0.015	-0.861	-0.018
3.300	0.017	-1.069	-0.018
3.320	0.016	-0.942	-0.018
3.340	0.011	-0.518	-0.018
3.360	0.005	0.070	-0.018
3.380	-0.001	0.647	-0.018
3.400	-0.005	1.043	-0.018
3.420	-0.006	1.128	-0.018
3.440	-0.003	0.859	-0.018
3.460	0.003	0.306	-0.018
3.480	0.009	-0.357	-0.018
3.500	0.015	-0.910	-0.018
3.520	0.017	-1.147	-0.018
3.540	0.016	-0.969	-0.018
3.560	0.010	-0.440	-0.018
3.580	0.003	0.237	-0.018
3.600	-0.003	0.814	-0.018
3.620	-0.005	1.089	-0.018
3.640	-0.004	0.977	-0.018
3.660	0.000	0.545	-0.018
3.680	0.006	-0.034	-0.018
3.700	0.012	-0.566	-0.018
3.720	0.015	-0.889	-0.018
3.740	0.016	-0.913	-0.018
3.760	0.013	-0.664	-0.018
3.780	0.008	-0.221	-0.018
3.800	0.003	0.284	-0.018
3.820	-0.001	0.715	-0.018
3.840	-0.004	0.951	-0.018
3.860	-0.004	0.913	-0.018
3.880	-0.001	0.603	-0.018
3.900	0.005	0.091	-0.018
3.920	0.010	-0.469	-0.018
3.940	0.015	-0.894	-0.018
3.960	0.016	-1.015	-0.018
3.980	0.014	-0.773	-0.018
4.000	0.008	-0.248	-0.018
4.020	0.002	0.362	-0.018
4.040	-0.003	0.834	-0.018
4.060	-0.005	1.009	-0.018
4.080	-0.004	0.844	-0.018
4.100	0.001	0.420	-0.018
4.120	0.006	-0.093	-0.018
