HBM_CATMAN_DATAFILE_40

3/8/2011
11:25
CHANNELS: 4
SEPARATOR: 9
MAXLINES: 2050               

Time DEVICE_1 (Sample rate 1)	Fx8113	Fx8111	Speed_X
s	N	N	m/s
3/8/2011-11:24	3/8/2011-11:24	3/8/2011-11:24	3/8/2011-11:24
			
T0 =08.03.11 11:24:06	T0 =08.03.11 11:24:06	T0 =08.03.11 11:24:06	T0 =08.03.11 11:24:06
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 3	CH 4	CH 16 - 3
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 	Serial No. (Electronics / CP)059181052111 / 804325236
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML801 Multichannel board ID=5015
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	DC 10V (AP801) ID=5506
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	DC 10 V ID=426
x1=0 y1=0;x2=0 y2=0	x1=0.7336 y1=0;x2=2.7336 y2=77.02	x1=0.1781 y1=0;x2=2.1781 y2=55.3	x1=0 y1=0;x2=10 y2=3.125
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	V IN     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	m/s      (Engin.)
0  Nominal value	77.02 N Nominal value	55.3 N Nominal value	3.125 m/s Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	No excitation ID=10
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	-10.87076 N Zero	0.4109481 N Zero	-6.319173E-03 m/s Zero
0  Tare	-8.460199 N Tare	-19.3114 N Tare	-0.0028 m/s Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 m/s Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	-0.067	0.096	0.107
0.020	-0.067	0.019	0.107
0.040	-0.067	-0.054	0.107
0.060	-0.066	-0.130	0.107
0.080	-0.066	-0.162	0.107
0.100	-0.064	-0.218	0.107
0.120	-0.065	-0.231	0.107
0.140	-0.064	-0.210	0.107
0.160	-0.067	-0.121	0.107
0.180	-0.065	-0.053	0.107
0.200	-0.068	-0.018	0.107
0.220	-0.066	-0.040	0.107
0.240	-0.067	-0.066	0.107
0.260	-0.066	-0.087	0.107
0.280	-0.067	-0.117	0.107
0.300	-0.065	-0.160	0.107
0.320	-0.066	-0.185	0.107
0.340	-0.065	-0.180	0.107
0.360	-0.065	-0.190	0.107
0.380	-0.065	-0.180	0.107
0.400	-0.064	-0.174	0.107
0.420	-0.066	-0.097	0.107
0.440	-0.065	-0.046	0.107
0.460	-0.067	-0.002	0.107
0.480	-0.065	-0.046	0.107
0.500	-0.067	-0.080	0.107
0.520	-0.065	-0.115	0.107
0.540	-0.066	-0.130	0.107
0.560	-0.065	-0.137	0.107
0.580	-0.066	-0.124	0.107
0.600	-0.066	-0.048	0.107
0.620	-0.067	-0.016	0.107
0.640	-0.066	-0.050	0.107
0.660	-0.065	-0.185	0.107
0.680	-0.064	-0.260	0.107
0.700	-0.063	-0.275	0.107
0.720	-0.065	-0.177	0.107
0.740	-0.065	-0.087	0.107
0.760	-0.067	0.031	0.107
0.780	-0.066	0.076	0.107
0.800	-0.068	0.061	0.107
0.820	-0.065	-0.083	0.107
0.840	-0.065	-0.255	0.107
0.860	-0.062	-0.361	0.107
0.880	-0.063	-0.363	0.107
0.900	-0.063	-0.278	0.107
0.920	-0.065	-0.178	0.107
0.940	-0.066	-0.026	0.107
0.960	-0.067	0.095	0.107
0.980	-0.068	0.171	0.107
1.000	-0.067	0.118	0.107
1.020	-0.066	-0.002	0.107
1.040	-0.063	-0.151	0.107
1.060	-0.064	-0.264	0.107
1.080	-0.061	-0.356	0.107
1.100	-0.063	-0.380	0.107
1.120	-0.062	-0.307	0.107
1.140	-0.065	-0.122	0.107
1.160	-0.066	0.090	0.107
1.180	-0.068	0.229	0.107
1.200	-0.068	0.260	0.107
1.220	-0.067	0.171	0.107
1.240	-0.064	-0.002	0.107
1.260	-0.062	-0.267	0.107
1.280	-0.060	-0.491	0.107
1.300	-0.058	-0.597	0.107
1.320	-0.060	-0.477	0.107
1.340	-0.061	-0.242	0.107
1.360	-0.065	0.066	0.107
1.380	-0.067	0.286	0.107
1.400	-0.069	0.393	0.107
1.420	-0.066	0.301	0.107
1.440	-0.065	0.037	0.107
1.460	-0.060	-0.298	0.107
1.480	-0.058	-0.531	0.107
1.500	-0.057	-0.571	0.107
1.520	-0.058	-0.452	0.107
1.540	-0.060	-0.241	0.107
1.560	-0.062	-0.019	0.107
1.580	-0.064	0.163	0.107
1.600	-0.064	0.228	0.107
1.620	-0.064	0.206	0.107
1.640	-0.061	0.079	0.107
1.660	-0.061	-0.050	0.107
1.680	-0.058	-0.206	0.107
1.700	-0.058	-0.341	0.107
1.720	-0.055	-0.483	0.107
1.740	-0.056	-0.527	0.107
1.760	-0.055	-0.428	0.107
1.780	-0.059	-0.177	0.107
1.800	-0.061	0.112	0.107
1.820	-0.064	0.345	0.107
1.840	-0.064	0.471	0.107
1.860	-0.064	0.406	0.107
1.880	-0.060	0.160	0.107
1.900	-0.056	-0.235	0.107
1.920	-0.053	-0.555	0.107
1.940	-0.050	-0.716	0.107
1.960	-0.052	-0.613	0.107
1.980	-0.053	-0.372	0.107
2.000	-0.058	-0.032	0.107
2.020	-0.059	0.259	0.107
2.040	-0.062	0.444	0.107
2.060	-0.060	0.424	0.107
2.080	-0.060	0.228	0.107
2.100	-0.055	-0.058	0.107
2.120	-0.053	-0.332	0.107
2.140	-0.049	-0.540	0.107
2.160	-0.049	-0.654	0.107
2.180	-0.049	-0.611	0.107
2.200	-0.051	-0.428	0.107
2.220	-0.054	-0.135	0.107
2.240	-0.056	0.145	0.107
2.260	-0.059	0.366	0.107
2.280	-0.058	0.425	0.107
2.300	-0.058	0.386	0.107
2.320	-0.055	0.205	0.107
2.340	-0.053	-0.032	0.107
2.360	-0.049	-0.299	0.107
2.380	-0.048	-0.474	0.107
2.400	-0.045	-0.544	0.107
2.420	-0.047	-0.493	0.107
2.440	-0.047	-0.351	0.107
2.460	-0.050	-0.164	0.107
2.480	-0.051	0.061	0.107
2.500	-0.054	0.248	0.107
2.520	-0.054	0.353	0.107
2.540	-0.053	0.309	0.107
2.560	-0.051	0.153	0.107
2.580	-0.049	-0.076	0.107
2.600	-0.045	-0.346	0.107
2.620	-0.042	-0.551	0.107
2.640	-0.042	-0.627	0.107
2.660	-0.042	-0.507	0.107
2.680	-0.045	-0.261	0.107
2.700	-0.047	0.022	0.107
2.720	-0.050	0.225	0.107
2.740	-0.050	0.308	0.107
2.760	-0.049	0.251	0.107
2.780	-0.046	0.081	0.107
2.800	-0.044	-0.133	0.107
2.820	-0.042	-0.285	0.107
2.840	-0.041	-0.298	0.107
2.860	-0.041	-0.207	0.107
2.880	-0.042	-0.091	0.107
2.900	-0.043	-0.024	0.107
2.920	-0.043	-0.011	0.107
2.940	-0.041	-0.075	0.107
2.960	-0.040	-0.168	0.107
2.980	-0.038	-0.242	0.107
3.000	-0.039	-0.200	0.107
3.020	-0.039	-0.073	0.107
3.040	-0.041	0.078	0.107
3.060	-0.040	0.151	0.107
3.080	-0.040	0.122	0.107
3.100	-0.038	0.005	0.107
3.120	-0.036	-0.148	0.107
3.140	-0.035	-0.261	0.107
3.160	-0.033	-0.329	0.107
3.180	-0.034	-0.284	0.107
3.200	-0.033	-0.202	0.107
3.220	-0.034	-0.101	0.107
3.240	-0.033	-0.088	0.107
3.260	-0.034	-0.086	0.107
3.280	-0.031	-0.104	0.107
3.300	-0.033	-0.060	0.107
3.320	-0.032	-0.021	0.107
3.340	-0.033	0.046	0.107
3.360	-0.032	0.064	0.107
3.380	-0.033	0.038	0.107
3.400	-0.030	-0.054	0.107
3.420	-0.029	-0.177	0.107
3.440	-0.028	-0.249	0.107
3.460	-0.027	-0.239	0.107
3.480	-0.028	-0.124	0.107
3.500	-0.029	0.007	0.107
3.520	-0.030	0.111	0.107
3.540	-0.029	0.121	0.107
3.560	-0.029	0.069	0.107
3.580	-0.026	-0.050	0.107
3.600	-0.026	-0.164	0.107
3.620	-0.023	-0.269	0.107
3.640	-0.025	-0.283	0.107
3.660	-0.022	-0.262	0.107
3.680	-0.025	-0.190	0.107
3.700	-0.022	-0.149	0.107
3.720	-0.024	-0.076	0.107
3.740	-0.023	0.010	0.107
3.760	-0.025	0.097	0.107
3.780	-0.024	0.154	0.107
3.800	-0.024	0.135	0.107
3.820	-0.023	0.089	0.107
3.840	-0.022	-0.026	0.107
3.860	-0.021	-0.145	0.107
3.880	-0.018	-0.297	0.107
3.900	-0.019	-0.331	0.107
3.920	-0.018	-0.273	0.107
3.940	-0.021	-0.107	0.107
3.960	-0.021	0.041	0.107
3.980	-0.023	0.149	0.107
4.000	-0.021	0.176	0.107
4.020	-0.022	0.112	0.107
4.040	-0.018	-0.052	0.107
4.060	-0.017	-0.276	0.107
4.080	-0.014	-0.410	0.107
4.100	-0.014	-0.424	0.107
4.120	-0.015	-0.301	0.107
4.140	-0.016	-0.174	0.107
4.160	-0.018	0.013	0.107
4.180	-0.019	0.176	0.107
4.200	-0.021	0.318	0.107
4.220	-0.019	0.296	0.107
4.240	-0.019	0.175	0.107
4.260	-0.015	-0.025	0.107
4.280	-0.014	-0.199	0.107
4.300	-0.011	-0.348	0.107
4.320	-0.011	-0.456	0.107
4.340	-0.010	-0.433	0.107
4.360	-0.013	-0.256	0.107
4.380	-0.014	0.025	0.107
4.400	-0.017	0.234	0.107
4.420	-0.017	0.322	0.107
4.440	-0.016	0.284	0.107
4.460	-0.015	0.164	0.107
4.480	-0.011	-0.052	0.107
4.500	-0.010	-0.310	0.107
4.520	-0.007	-0.510	0.107
4.540	-0.008	-0.496	0.107
4.560	-0.008	-0.341	0.107
4.580	-0.012	-0.106	0.107
4.600	-0.012	0.067	0.107
4.620	-0.015	0.227	0.107
4.640	-0.014	0.320	0.107
4.660	-0.015	0.296	0.107
4.680	-0.012	0.138	0.107
4.700	-0.010	-0.114	0.107
4.720	-0.008	-0.280	0.107
4.740	-0.007	-0.395	0.107
4.760	-0.007	-0.393	0.107
4.780	-0.007	-0.344	0.107
4.800	-0.010	-0.134	0.107
4.820	-0.011	0.138	0.107
4.840	-0.015	0.385	0.107
4.860	-0.014	0.449	0.107
4.880	-0.014	0.327	0.107
4.900	-0.010	0.086	0.107
4.920	-0.008	-0.191	0.107
4.940	-0.004	-0.477	0.107
4.960	-0.003	-0.696	0.107
4.980	-0.002	-0.732	0.107
5.000	-0.005	-0.512	0.107
5.020	-0.008	-0.136	0.107
5.040	-0.011	0.211	0.107
5.060	-0.015	0.464	0.107
5.080	-0.015	0.587	0.107
5.100	-0.016	0.603	0.107
5.120	-0.012	0.388	0.107
5.140	-0.010	0.044	0.107
5.160	-0.003	-0.380	0.107
5.180	-0.003	-0.630	0.107
5.200	0.001	-0.732	0.107
5.220	-0.002	-0.639	0.107
5.240	-0.003	-0.414	0.107
5.260	-0.008	-0.057	0.107
5.280	-0.011	0.349	0.107
5.300	-0.015	0.625	0.107
5.320	-0.015	0.683	0.107
5.340	-0.013	0.499	0.107
5.360	-0.009	0.211	0.107
5.380	-0.005	-0.168	0.107
5.400	0.000	-0.545	0.107
5.420	0.003	-0.843	0.107
5.440	0.003	-0.875	0.107
5.460	0.002	-0.661	0.107
5.480	-0.004	-0.226	0.107
5.500	-0.007	0.212	0.107
5.520	-0.012	0.601	0.107
5.540	-0.013	0.791	0.107
5.560	-0.014	0.762	0.107
5.580	-0.008	0.455	0.107
5.600	-0.005	-0.011	0.107
5.620	0.002	-0.462	0.107
5.640	0.005	-0.780	0.107
5.660	0.006	-0.851	0.107
5.680	0.006	-0.749	0.107
5.700	0.002	-0.409	0.107
5.720	-0.003	0.031	0.107
5.740	-0.008	0.484	0.107
5.760	-0.009	0.738	0.107
5.780	-0.011	0.743	0.107
5.800	-0.006	0.510	0.107
5.820	-0.003	0.128	0.107
5.840	0.004	-0.331	0.107
5.860	0.008	-0.735	0.107
5.880	0.011	-0.933	0.107
5.900	0.009	-0.842	0.107
5.920	0.006	-0.502	0.107
5.940	0.001	-0.058	0.107
5.960	-0.003	0.364	0.107
5.980	-0.006	0.653	0.107
6.000	-0.008	0.790	0.107
6.020	-0.005	0.651	0.107
6.040	-0.002	0.328	0.107
6.060	0.004	-0.131	0.107
6.080	0.007	-0.485	0.107
6.100	0.011	-0.746	0.107
6.120	0.010	-0.786	0.107
6.140	0.011	-0.631	0.107
6.160	0.005	-0.240	0.107
6.180	0.002	0.241	0.107
6.200	-0.003	0.632	0.107
6.220	-0.004	0.798	0.107
6.240	-0.003	0.672	0.107
6.260	0.001	0.342	0.107
6.280	0.006	-0.149	0.107
6.300	0.012	-0.635	0.107
6.320	0.016	-0.966	0.107
6.340	0.016	-0.932	0.107
6.360	0.013	-0.577	0.107
6.380	0.006	-0.048	0.107
6.400	0.003	0.385	0.107
6.420	-0.001	0.657	0.107
6.440	0.000	0.683	0.107
6.460	0.002	0.499	0.107
6.480	0.007	0.137	0.107
6.500	0.010	-0.247	0.107
6.520	0.015	-0.480	0.107
6.540	0.014	-0.512	0.107
6.560	0.014	-0.390	0.107
6.580	0.012	-0.253	0.107
6.600	0.010	-0.068	0.107
6.620	0.008	0.117	0.107
6.640	0.007	0.274	0.107
6.660	0.007	0.291	0.107
6.680	0.008	0.213	0.107
6.700	0.010	0.075	0.107
6.720	0.011	-0.055	0.107
6.740	0.014	-0.197	0.107
6.760	0.015	-0.351	0.107
6.780	0.017	-0.453	0.107
6.800	0.017	-0.430	0.107
6.820	0.016	-0.261	0.107
6.840	0.014	-0.044	0.107
6.860	0.013	0.173	0.107
6.880	0.011	0.346	0.107
6.900	0.010	0.447	0.107
6.920	0.011	0.428	0.107
6.940	0.013	0.278	0.107
6.960	0.016	0.060	0.107
6.980	0.018	-0.146	0.107
7.000	0.020	-0.287	0.107
7.020	0.021	-0.360	0.107
7.040	0.022	-0.370	0.107
7.060	0.021	-0.264	0.107
7.080	0.020	-0.100	0.107
7.100	0.018	0.062	0.107
7.120	0.018	0.147	0.107
7.140	0.018	0.166	0.107
7.160	0.019	0.142	0.107
7.180	0.020	0.057	0.107
7.200	0.022	-0.055	0.107
7.220	0.023	-0.160	0.107
7.240	0.024	-0.186	0.107
7.260	0.024	-0.134	0.107
7.280	0.023	-0.032	0.107
7.300	0.022	0.058	0.107
7.320	0.022	0.100	0.107
7.340	0.023	0.068	0.107
7.360	0.025	-0.044	0.107
7.380	0.027	-0.182	0.107
7.400	0.028	-0.267	0.107
7.420	0.028	-0.250	0.107
7.440	0.027	-0.122	0.107
7.460	0.026	0.072	0.107
7.480	0.024	0.288	0.107
7.500	0.023	0.426	0.107
7.520	0.023	0.402	0.107
7.540	0.026	0.192	0.107
7.560	0.030	-0.127	0.107
7.580	0.034	-0.414	0.107
7.600	0.035	-0.569	0.107
7.620	0.036	-0.526	0.107
7.640	0.034	-0.316	0.107
7.660	0.031	-0.018	0.107
7.680	0.028	0.228	0.107
7.700	0.027	0.343	0.107
7.720	0.029	0.307	0.107
7.740	0.030	0.210	0.107
7.760	0.032	0.118	0.107
7.780	0.032	0.084	0.107
7.800	0.033	0.041	0.107
7.820	0.034	-0.008	0.107
7.840	0.035	-0.112	0.107
7.860	0.037	-0.223	0.107
7.880	0.039	-0.327	0.107
7.900	0.039	-0.328	0.107
7.920	0.038	-0.170	0.107
7.940	0.036	0.088	0.107
7.960	0.033	0.339	0.107
7.980	0.033	0.436	0.107
8.000	0.033	0.366	0.107
8.020	0.037	0.122	0.107
8.040	0.040	-0.190	0.107
8.060	0.044	-0.454	0.107
8.080	0.044	-0.520	0.107
8.100	0.044	-0.368	0.107
8.120	0.040	-0.036	0.107
8.140	0.039	0.267	0.107
8.160	0.036	0.434	0.107
8.180	0.038	0.378	0.107
8.200	0.039	0.174	0.107
8.220	0.044	-0.095	0.107
8.240	0.045	-0.281	0.107
8.260	0.047	-0.320	0.107
8.280	0.045	-0.202	0.107
8.300	0.044	0.013	0.107
8.320	0.043	0.195	0.107
8.340	0.043	0.251	0.107
8.360	0.044	0.156	0.107
8.380	0.046	-0.020	0.107
8.400	0.049	-0.208	0.107
8.420	0.049	-0.289	0.107
8.440	0.050	-0.252	0.107
8.460	0.048	-0.098	0.107
8.480	0.047	0.070	0.107
8.500	0.045	0.221	0.107
8.520	0.047	0.290	0.107
8.540	0.046	0.259	0.107
8.560	0.049	0.131	0.107
8.580	0.050	-0.046	0.107
8.600	0.053	-0.195	0.107
8.620	0.053	-0.263	0.107
8.640	0.054	-0.223	0.107
8.660	0.052	-0.100	0.107
8.680	0.051	0.067	0.107
8.700	0.050	0.201	0.107
8.720	0.050	0.271	0.107
8.740	0.051	0.236	0.107
8.760	0.052	0.129	0.107
8.780	0.054	-0.009	0.107
8.800	0.055	-0.118	0.107
8.820	0.056	-0.178	0.107
8.840	0.056	-0.188	0.107
8.860	0.057	-0.145	0.107
8.880	0.055	-0.051	0.107
8.900	0.056	0.067	0.107
8.920	0.054	0.159	0.107
8.940	0.055	0.186	0.107
8.960	0.055	0.142	0.107
8.980	0.057	0.045	0.107
9.000	0.058	-0.071	0.107
9.020	0.060	-0.181	0.107
9.040	0.060	-0.252	0.107
9.060	0.061	-0.251	0.107
9.080	0.060	-0.167	0.107
9.100	0.059	-0.028	0.107
9.120	0.058	0.110	0.107
9.140	0.057	0.216	0.107
9.160	0.057	0.285	0.107
9.180	0.057	0.292	0.107
9.200	0.059	0.223	0.107
9.220	0.060	0.081	0.107
9.240	0.062	-0.066	0.107
9.260	0.063	-0.164	0.107
9.280	0.064	-0.224	0.107
9.300	0.064	-0.255	0.107
9.320	0.064	-0.217	0.107
9.340	0.063	-0.069	0.107
9.360	0.062	0.129	0.107
9.380	0.060	0.296	0.107
9.400	0.060	0.350	0.107
9.420	0.059	0.309	0.107
9.440	0.062	0.165	0.107
9.460	0.064	-0.030	0.107
9.480	0.067	-0.244	0.107
9.500	0.068	-0.357	0.107
9.520	0.069	-0.327	0.107
9.540	0.067	-0.173	0.107
9.560	0.067	-0.008	0.107
9.580	0.064	0.153	0.107
9.600	0.063	0.290	0.107
9.620	0.063	0.366	0.107
9.640	0.063	0.314	0.107
9.660	0.065	0.109	0.107
9.680	0.067	-0.109	0.107
9.700	0.070	-0.273	0.107
9.720	0.070	-0.308	0.107
9.740	0.071	-0.284	0.107
9.760	0.069	-0.151	0.107
9.780	0.068	0.044	0.107
9.800	0.065	0.263	0.107
9.820	0.065	0.364	0.107
9.840	0.065	0.303	0.107
9.860	0.067	0.129	0.107
9.880	0.068	-0.051	0.107
9.900	0.071	-0.165	0.107
9.920	0.071	-0.260	0.107
9.940	0.072	-0.272	0.107
9.960	0.071	-0.200	0.107
9.980	0.069	-0.009	0.107
10.000	0.067	0.121	0.107
10.020	0.066	0.177	0.107
10.040	0.067	0.120	0.107
10.060	0.067	0.100	0.107
10.080	0.069	0.061	0.107
10.100	0.067	0.053	0.107
10.120	0.070	0.008	0.107
10.140	0.068	0.020	0.107
10.160	0.070	0.044	0.107
10.180	0.069	0.059	0.107
10.200	0.071	0.020	0.107
10.220	0.070	-0.026	0.107
10.240	0.070	-0.006	0.107
10.260	0.069	0.032	0.107
10.280	0.068	0.078	0.107
10.300	0.069	0.062	0.107
10.320	0.069	0.059	0.107
10.340	0.070	0.021	0.107
10.360	0.070	-0.007	0.107
10.380	0.072	-0.097	0.107
10.400	0.071	-0.147	0.107
10.420	0.073	-0.156	0.107
10.440	0.071	-0.086	0.107
10.460	0.071	-0.030	0.107
10.480	0.068	0.036	0.107
10.500	0.069	0.117	0.107
10.520	0.066	0.217	0.107
10.540	0.067	0.267	0.107
10.560	0.067	0.206	0.107
10.580	0.069	0.094	0.107
10.600	0.071	-0.041	0.107
10.620	0.071	-0.118	0.107
10.640	0.073	-0.197	0.107
10.660	0.072	-0.196	0.107
10.680	0.072	-0.155	0.107
10.700	0.069	-0.005	0.107
10.720	0.069	0.115	0.107
10.740	0.067	0.180	0.107
10.760	0.069	0.134	0.107
10.780	0.068	0.059	0.107
10.800	0.071	-0.022	0.107
10.820	0.071	-0.113	0.107
10.840	0.073	-0.153	0.107
10.860	0.072	-0.152	0.107
10.880	0.071	-0.045	0.107
10.900	0.070	0.039	0.107
10.920	0.068	0.134	0.107
10.940	0.068	0.154	0.107
10.960	0.067	0.195	0.107
10.980	0.068	0.179	0.107
11.000	0.067	0.149	0.107
11.020	0.070	0.046	0.107
11.040	0.069	-0.017	0.107
11.060	0.072	-0.077	0.107
11.080	0.070	-0.080	0.107
11.100	0.072	-0.087	0.107
11.120	0.071	-0.062	0.107
11.140	0.071	-0.032	0.107
11.160	0.070	-0.023	0.107
11.180	0.070	-0.005	0.107
11.200	0.071	-0.045	0.107
11.220	0.071	-0.031	0.107
11.240	0.071	-0.010	0.107
11.260	0.069	0.131	0.107
11.280	0.069	0.221	0.107
11.300	0.067	0.302	0.107
11.320	0.069	0.258	0.107
11.340	0.068	0.143	0.107
11.360	0.073	-0.073	0.107
11.380	0.074	-0.283	0.107
11.400	0.077	-0.392	0.107
11.420	0.075	-0.347	0.107
11.440	0.073	-0.133	0.107
11.460	0.069	0.124	0.107
11.480	0.067	0.339	0.107
11.500	0.066	0.386	0.107
11.520	0.066	0.325	0.107
11.540	0.069	0.133	0.107
11.560	0.071	-0.041	0.107
11.580	0.074	-0.210	0.107
11.600	0.072	-0.222	0.107
11.620	0.073	-0.181	0.107
11.640	0.071	-0.062	0.107
11.660	0.072	-0.006	0.107
11.680	0.070	0.043	0.107
11.700	0.071	0.061	0.107
11.720	0.068	0.102	0.107
11.740	0.069	0.153	0.107
11.760	0.068	0.184	0.107
11.780	0.069	0.189	0.107
11.800	0.069	0.123	0.107
11.820	0.070	0.024	0.107
11.840	0.073	-0.136	0.107
11.860	0.073	-0.231	0.107
11.880	0.074	-0.261	0.107
11.900	0.071	-0.134	0.107
11.920	0.071	0.012	0.107
11.940	0.068	0.192	0.107
11.960	0.069	0.260	0.107
11.980	0.066	0.291	0.107
12.000	0.069	0.204	0.107
12.020	0.068	0.093	0.107
12.040	0.072	-0.059	0.107
12.060	0.072	-0.176	0.107
12.080	0.074	-0.233	0.107
12.100	0.073	-0.258	0.107
12.120	0.073	-0.203	0.107
12.140	0.071	-0.128	0.107
12.160	0.069	0.054	0.107
12.180	0.068	0.222	0.107
12.200	0.066	0.386	0.107
12.220	0.067	0.401	0.107
12.240	0.067	0.320	0.107
12.260	0.071	0.111	0.107
12.280	0.072	-0.108	0.107
12.300	0.075	-0.310	0.107
12.320	0.074	-0.368	0.107
12.340	0.075	-0.280	0.107
12.360	0.071	-0.072	0.107
12.380	0.070	0.137	0.107
12.400	0.068	0.249	0.107
12.420	0.068	0.280	0.107
12.440	0.069	0.213	0.107
12.460	0.070	0.149	0.107
12.480	0.071	0.059	0.107
12.500	0.071	0.037	0.107
12.520	0.073	-0.003	0.107
12.540	0.072	-0.017	0.107
12.560	0.075	-0.118	0.107
12.580	0.074	-0.209	0.107
12.600	0.076	-0.286	0.107
12.620	0.074	-0.224	0.107
12.640	0.074	-0.060	0.107
12.660	0.071	0.159	0.107
12.680	0.070	0.370	0.107
12.700	0.068	0.465	0.107
12.720	0.069	0.425	0.107
12.740	0.072	0.203	0.107
12.760	0.075	-0.058	0.107
12.780	0.078	-0.307	0.107
12.800	0.078	-0.390	0.107
12.820	0.078	-0.359	0.107
12.840	0.075	-0.173	0.107
12.860	0.075	0.038	0.107
12.880	0.070	0.282	0.107
12.900	0.071	0.422	0.107
12.920	0.069	0.465	0.107
12.940	0.072	0.361	0.107
12.960	0.073	0.172	0.107
12.980	0.077	-0.070	0.107
13.000	0.078	-0.309	0.107
13.020	0.081	-0.455	0.107
13.040	0.081	-0.492	0.107
13.060	0.080	-0.324	0.107
13.080	0.077	-0.064	0.107
13.100	0.073	0.297	0.107
13.120	0.072	0.507	0.107
13.140	0.071	0.566	0.107
13.160	0.074	0.393	0.107
13.180	0.075	0.124	0.107
13.200	0.081	-0.190	0.107
13.220	0.081	-0.366	0.107
13.240	0.083	-0.386	0.107
