         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
1.380	0.005	0.005	-0.522	-0.459
1.400	0.002	0.004	-0.614	-0.557
1.420	0.004	0.001	-0.636	-0.617
1.440	0.002	0.006	-0.582	-0.583
1.460	0.001	0.004	-0.469	-0.464
1.480	0.008	-0.003	-0.332	-0.322
1.500	0.011	-0.001	-0.207	-0.201
1.520	0.004	0.007	-0.114	-0.120
1.540	0.004	0.005	-0.074	-0.121
1.560	0.005	0.003	-0.097	-0.186
1.580	0.001	0.008	-0.167	-0.245
1.600	0.001	0.003	-0.264	-0.301
1.620	0.010	-0.003	-0.356	-0.361
1.640	0.008	-0.001	-0.414	-0.402
1.660	0.002	0.004	-0.427	-0.432
1.680	0.004	0.003	-0.401	-0.464
1.700	0.003	0.002	-0.347	-0.461
1.720	-0.002	0.006	-0.278	-0.389
1.740	0.003	0.002	-0.206	-0.280
1.760	0.011	-0.004	-0.142	-0.185
1.780	0.006	-0.001	-0.093	-0.132
1.800	0.003	0.005	-0.072	-0.145
1.820	0.006	0.002	-0.084	-0.209
1.840	0.002	0.003	-0.125	-0.259
1.860	-0.001	0.007	-0.179	-0.258
1.880	0.007	0.002	-0.222	-0.227
1.900	0.011	-0.004	-0.234	-0.210
1.920	0.006	0.000	-0.217	-0.222
1.940	0.004	0.004	-0.183	-0.248
1.960	0.005	0.002	-0.150	-0.261
1.980	-0.001	0.004	-0.138	-0.254
2.000	-0.001	0.007	-0.155	-0.238
2.020	0.008	0.001	-0.185	-0.230
2.040	0.009	-0.004	-0.212	-0.241
2.060	0.004	0.001	-0.226	-0.266
2.080	0.005	0.004	-0.226	-0.297
2.100	0.004	0.002	-0.228	-0.335
2.120	-0.002	0.006	-0.252	-0.386
2.140	0.000	0.008	-0.297	-0.419
2.160	0.009	0.001	-0.347	-0.408
2.180	0.008	-0.003	-0.375	-0.365
2.200	0.005	0.004	-0.354	-0.303
2.220	0.007	0.004	-0.270	-0.221
2.240	0.005	0.002	-0.155	-0.153
2.260	-0.001	0.008	-0.057	-0.122
2.280	0.002	0.008	-0.020	-0.121
2.300	0.008	0.001	-0.076	-0.153
2.320	0.006	0.000	-0.224	-0.249
2.340	0.004	0.004	-0.417	-0.396
2.360	0.007	0.002	-0.589	-0.534
2.380	0.003	0.001	-0.697	-0.648
2.400	0.000	0.007	-0.715	-0.701
