         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
1.480	0.015	-0.011	1.416	1.479
1.500	0.018	-0.009	1.294	1.422
1.520	0.024	0.003	1.169	1.338
1.540	0.028	0.012	1.101	1.283
1.560	0.025	0.008	1.120	1.296
1.580	0.018	0.000	1.224	1.383
1.600	0.017	-0.007	1.379	1.509
1.620	0.018	-0.010	1.531	1.625
1.640	0.020	-0.007	1.627	1.689
1.660	0.026	0.007	1.626	1.666
1.680	0.027	0.014	1.521	1.559
1.700	0.021	0.007	1.346	1.408
1.720	0.015	-0.001	1.161	1.278
1.740	0.014	-0.007	1.041	1.242
1.760	0.017	-0.012	1.041	1.322
1.780	0.022	-0.005	1.170	1.479
1.800	0.028	0.008	1.384	1.628
1.820	0.028	0.012	1.592	1.706
1.840	0.019	0.005	1.695	1.692
1.860	0.014	-0.002	1.634	1.600
1.880	0.015	-0.007	1.426	1.478
1.900	0.018	-0.010	1.161	1.365
1.920	0.026	-0.003	0.946	1.269
1.940	0.031	0.008	0.870	1.206
1.960	0.028	0.010	0.952	1.194
1.980	0.019	0.003	1.139	1.248
2.000	0.013	-0.001	1.349	1.368
2.020	0.013	-0.004	1.502	1.531
2.040	0.016	-0.006	1.566	1.689
2.060	0.026	0.001	1.537	1.754
2.080	0.032	0.009	1.437	1.676
2.100	0.027	0.006	1.293	1.479
2.120	0.019	-0.001	1.119	1.239
2.140	0.014	-0.004	0.941	1.046
2.160	0.013	-0.006	0.800	0.965
2.180	0.019	-0.007	0.749	1.001
2.200	0.028	0.002	0.821	1.107
2.220	0.033	0.010	1.008	1.246
2.240	0.026	0.007	1.259	1.391
2.260	0.018	0.003	1.488	1.526
2.280	0.014	0.000	1.619	1.628
2.300	0.013	-0.003	1.604	1.650
2.320	0.020	-0.003	1.449	1.556
2.340	0.028	0.004	1.198	1.351
2.360	0.031	0.008	0.923	1.087
2.380	0.023	0.004	0.704	0.878
2.400	0.017	-0.002	0.614	0.831
2.420	0.014	-0.003	0.693	0.971
2.440	0.016	-0.005	0.931	1.230
2.460	0.025	-0.004	1.249	1.470
2.480	0.033	0.005	1.520	1.574
2.500	0.029	0.010	1.631	1.535
2.520	0.020	0.006	1.530	1.403
2.540	0.012	0.002	1.263	1.258
2.560	0.011	-0.001	0.970	1.185
2.580	0.017	-0.006	0.794	1.184
2.600	0.029	-0.005	0.804	1.195
2.620	0.035	0.004	0.975	1.200
2.640	0.027	0.007	1.207	1.231
2.660	0.016	0.003	1.387	1.315
2.680	0.009	0.002	1.450	1.435
2.700	0.010	-0.001	1.414	1.547
2.720	0.020	-0.006	1.335	1.586
2.740	0.035	-0.004	1.264	1.522
2.760	0.039	0.004	1.212	1.388
2.780	0.027	0.005	1.168	1.251
2.800	0.015	0.003	1.122	1.177
2.820	0.007	0.003	1.080	1.180
2.840	0.009	0.001	1.076	1.247
2.860	0.021	-0.004	1.133	1.345
2.880	0.036	0.000	1.255	1.463
2.900	0.035	0.007	1.410	1.574
2.920	0.024	0.005	1.534	1.626
2.940	0.012	0.003	1.571	1.603
2.960	0.005	0.003	1.493	1.513
2.980	0.011	-0.001	1.324	1.401
3.000	0.026	-0.004	1.132	1.315
3.020	0.039	0.000	0.993	1.285
3.040	0.036	0.005	0.971	1.315
3.060	0.024	0.004	1.073	1.361
3.080	0.012	0.003	1.243	1.395
3.100	0.006	0.004	1.401	1.426
3.120	0.012	0.002	1.466	1.454
3.140	0.027	0.001	1.410	1.465
3.160	0.036	0.004	1.268	1.442
3.180	0.032	0.007	1.106	1.356
3.200	0.021	0.003	0.989	1.213
3.220	0.011	0.001	0.949	1.085
3.240	0.008	0.002	0.985	1.053
3.260	0.017	0.001	1.083	1.165
3.280	0.033	0.001	1.217	1.386
3.300	0.039	0.005	1.356	1.594
3.320	0.033	0.006	1.448	1.649
3.340	0.021	0.003	1.439	1.502
3.360	0.010	0.002	1.293	1.239
3.380	0.007	0.004	1.033	1.005
3.400	0.018	0.003	0.740	0.884
3.420	0.033	0.003	0.532	0.889
3.440	0.036	0.006	0.513	0.982
3.460	0.031	0.005	0.713	1.109
3.480	0.020	0.002	1.065	1.254
3.500	0.009	0.004	1.433	1.421
3.520	0.008	0.008	1.675	1.584
3.540	0.021	0.007	1.722	1.705
3.560	0.034	0.006	1.573	1.706
3.580	0.038	0.006	1.305	1.559
3.600	0.031	0.002	1.022	1.304
3.620	0.020	-0.001	0.796	1.030
3.640	0.010	0.002	0.685	0.867
3.660	0.011	0.006	0.702	0.884
3.680	0.025	0.006	0.834	1.051
3.700	0.035	0.007	1.045	1.279
3.720	0.035	0.008	1.273	1.468
3.740	0.028	0.004	1.455	1.562
3.760	0.016	0.002	1.545	1.586
3.780	0.008	0.004	1.519	1.562
3.800	0.013	0.007	1.385	1.475
3.820	0.028	0.005	1.174	1.318
3.840	0.035	0.005	0.946	1.116
3.860	0.033	0.005	0.759	0.933
3.880	0.025	0.001	0.685	0.875
3.900	0.014	-0.001	0.769	1.004
3.920	0.011	0.004	1.014	1.278
3.940	0.021	0.008	1.363	1.576
3.960	0.033	0.008	1.686	1.772
3.980	0.035	0.009	1.850	1.811
4.000	0.029	0.008	1.768	1.691
4.020	0.018	0.003	1.463	1.465
4.040	0.007	0.001	1.056	1.212
4.060	0.009	0.004	0.703	0.996
4.080	0.024	0.005	0.536	0.873
4.100	0.035	0.005	0.614	0.914
4.120	0.037	0.006	0.911	1.126
4.140	0.029	0.006	1.313	1.422
4.160	0.017	0.003	1.681	1.706
4.180	0.008	0.002	1.888	1.860
4.200	0.012	0.007	1.861	1.821
4.220	0.027	0.009	1.630	1.650
4.240	0.034	0.006	1.287	1.439
4.260	0.035	0.007	0.959	1.257
4.280	0.027	0.005	0.761	1.130
4.300	0.014	-0.001	0.747	1.067
4.320	0.007	0.000	0.892	1.066
4.340	0.014	0.008	1.107	1.136
4.360	0.026	0.009	1.295	1.280
4.380	0.032	0.008	1.398	1.462
4.400	0.033	0.009	1.428	1.621
4.420	0.027	0.004	1.419	1.686
4.440	0.016	-0.002	1.399	1.639
4.460	0.013	0.001	1.364	1.508
4.480	0.022	0.007	1.286	1.347
4.500	0.030	0.009	1.153	1.219
4.520	0.033	0.009	0.990	1.156
4.540	0.030	0.009	0.862	1.155
4.560	0.024	0.004	0.835	1.201
4.580	0.014	-0.002	0.934	1.270
4.600	0.015	0.003	1.103	1.314
4.620	0.023	0.010	1.244	1.316
4.640	0.028	0.009	1.274	1.291
4.660	0.030	0.009	1.172	1.255
4.680	0.027	0.008	0.997	1.202
4.700	0.022	0.001	0.839	1.127
4.720	0.016	-0.003	0.786	1.078
4.740	0.021	0.003	0.874	1.113
4.760	0.030	0.008	1.077	1.252
4.780	0.033	0.010	1.325	1.469
4.800	0.032	0.010	1.517	1.651
4.820	0.027	0.009	1.570	1.679
4.840	0.017	0.003	1.450	1.525
4.860	0.012	-0.002	1.189	1.252
4.880	0.019	0.003	0.873	0.992
4.900	0.027	0.008	0.616	0.862
4.920	0.031	0.007	0.523	0.885
4.940	0.031	0.006	0.645	1.018
4.960	0.026	0.006	0.939	1.176
4.980	0.016	-0.001	1.295	1.330
5.000	0.014	-0.003	1.593	1.508
5.020	0.023	0.006	1.752	1.691
5.040	0.031	0.010	1.757	1.815
5.060	0.034	0.009	1.634	1.797
5.080	0.033	0.008	1.432	1.607
5.100	0.024	0.004	1.195	1.308
5.120	0.013	-0.003	0.965	1.029
5.140	0.013	-0.003	0.784	0.881
5.160	0.021	0.004	0.692	0.896
5.180	0.029	0.009	0.735	1.039
5.200	0.032	0.008	0.933	1.248
5.220	0.031	0.007	1.247	1.461
5.240	0.022	0.004	1.590	1.661
5.260	0.014	-0.002	1.850	1.824
5.280	0.017	0.000	1.933	1.897
5.300	0.025	0.009	1.803	1.819
5.320	0.030	0.010	1.487	1.566
5.340	0.032	0.007	1.079	1.206
5.360	0.029	0.006	0.702	0.881
5.380	0.019	0.001	0.486	0.742
5.400	0.015	-0.005	0.509	0.833
5.420	0.020	0.001	0.754	1.072
5.440	0.027	0.010	1.125	1.330
5.460	0.029	0.012	1.477	1.504
5.480	0.028	0.010	1.678	1.577
5.500	0.023	0.008	1.668	1.595
5.520	0.015	0.002	1.479	1.568
5.540	0.016	-0.003	1.205	1.444
5.560	0.024	0.001	0.948	1.210
5.580	0.030	0.007	0.778	0.950
5.600	0.031	0.007	0.712	0.786
5.620	0.030	0.006	0.736	0.805
5.640	0.022	0.006	0.841	0.985
5.660	0.016	0.000	0.997	1.197
5.680	0.019	-0.003	1.172	1.338
5.700	0.026	0.004	1.320	1.384
5.720	0.029	0.010	1.396	1.388
5.740	0.030	0.010	1.390	1.407
5.760	0.027	0.010	1.315	1.435
5.780	0.018	0.007	1.202	1.410
5.800	0.015	-0.001	1.082	1.271
5.820	0.019	-0.004	0.971	1.067
5.840	0.026	0.002	0.887	0.917
5.860	0.028	0.009	0.855	0.907
5.880	0.031	0.010	0.916	1.086
5.900	0.028	0.009	1.089	1.368
5.920	0.021	0.006	1.319	1.567
5.940	0.019	-0.002	1.517	1.584
5.960	0.021	-0.004	1.566	1.445
5.980	0.024	0.004	1.406	1.257
6.000	0.025	0.012	1.110	1.157
6.020	0.027	0.011	0.850	1.200
6.040	0.026	0.009	0.789	1.321
6.060	0.022	0.003	0.972	1.404
6.080	0.021	-0.005	1.295	1.398
6.100	0.022	-0.005	1.582	1.382
6.120	0.021	0.006	1.692	1.444
6.140	0.023	0.013	1.590	1.549
6.160	0.026	0.011	1.349	1.564
6.180	0.026	0.006	1.079	1.390
6.200	0.024	-0.002	0.864	1.054
6.220	0.023	-0.010	0.739	0.748
6.240	0.023	-0.006	0.706	0.664
6.260	0.020	0.008	0.760	0.841
6.280	0.023	0.016	0.912	1.168
6.300	0.025	0.013	1.151	1.458
6.320	0.025	0.007	1.420	1.600
6.340	0.024	-0.001	1.620	1.606
6.360	0.023	-0.008	1.662	1.559
6.380	0.022	-0.001	1.518	1.496
6.400	0.020	0.012	1.238	1.373
6.420	0.023	0.015	0.923	1.161
6.440	0.025	0.009	0.658	0.882
6.460	0.025	0.002	0.496	0.629
6.480	0.025	-0.007	0.458	0.533
6.500	0.023	-0.010	0.539	0.652
6.520	0.022	0.001	0.727	0.938
6.540	0.022	0.014	1.001	1.248
6.560	0.025	0.016	1.306	1.468
6.580	0.026	0.012	1.552	1.565
6.600	0.024	0.004	1.646	1.567
6.620	0.023	-0.004	1.537	1.505
6.640	0.021	-0.007	1.257	1.367
6.660	0.019	0.002	0.918	1.171
6.680	0.021	0.012	0.657	0.961
6.700	0.025	0.010	0.558	0.808
6.720	0.027	0.005	0.629	0.783
6.740	0.025	-0.001	0.825	0.901
6.760	0.024	-0.008	1.067	1.120
6.780	0.021	-0.007	1.280	1.349
6.800	0.019	0.005	1.419	1.506
6.820	0.023	0.014	1.468	1.547
6.840	0.026	0.012	1.440	1.489
6.860	0.027	0.007	1.353	1.390
6.880	0.025	0.000	1.236	1.304
6.900	0.022	-0.007	1.132	1.268
6.920	0.019	-0.005	1.083	1.278
6.940	0.018	0.007	1.116	1.312
6.960	0.022	0.014	1.213	1.349
6.980	0.026	0.011	1.316	1.366
7.000	0.027	0.005	1.367	1.369
7.020	0.025	-0.002	1.347	1.384
7.040	0.022	-0.008	1.275	1.401
7.060	0.020	-0.004	1.180	1.367
7.080	0.021	0.008	1.099	1.265
7.100	0.025	0.012	1.064	1.167
7.120	0.029	0.008	1.060	1.118
7.140	0.027	0.004	1.064	1.129
7.160	0.024	-0.003	1.071	1.202
7.180	0.019	-0.007	1.098	1.299
7.200	0.018	0.001	1.159	1.374
7.220	0.021	0.011	1.252	1.419
7.240	0.027	0.013	1.347	1.453
7.260	0.030	0.009	1.389	1.481
7.280	0.027	0.003	1.354	1.476
7.300	0.022	-0.004	1.245	1.405
7.320	0.018	-0.008	1.088	1.268
7.340	0.019	0.000	0.931	1.109
7.360	0.024	0.010	0.821	0.985
7.380	0.030	0.011	0.790	0.947
7.400	0.030	0.007	0.841	1.013
7.420	0.026	0.003	0.956	1.148
7.440	0.019	-0.003	1.106	1.297
7.460	0.016	-0.005	1.245	1.396
7.480	0.019	0.004	1.323	1.416
7.500	0.024	0.012	1.327	1.410
7.520	0.030	0.011	1.272	1.410
7.540	0.029	0.008	1.190	1.407
7.560	0.024	0.003	1.115	1.370
7.580	0.019	-0.006	1.060	1.281
7.600	0.018	-0.006	1.016	1.169
7.620	0.021	0.003	0.977	1.092
7.640	0.027	0.010	0.949	1.098
7.660	0.030	0.010	0.947	1.175
7.680	0.028	0.007	0.994	1.266
7.700	0.023	0.002	1.089	1.316
7.720	0.018	-0.006	1.205	1.323
7.740	0.018	-0.004	1.303	1.346
7.760	0.022	0.007	1.356	1.422
7.780	0.027	0.014	1.360	1.517
7.800	0.029	0.012	1.320	1.540
7.820	0.026	0.008	1.233	1.426
7.840	0.021	0.000	1.112	1.233
7.860	0.018	-0.009	0.981	1.088
7.880	0.020	-0.005	0.892	1.084
7.900	0.025	0.008	0.893	1.212
7.920	0.030	0.012	1.003	1.364
7.940	0.031	0.010	1.178	1.424
7.960	0.026	0.005	1.331	1.379
7.980	0.019	-0.003	1.382	1.310
8.000	0.016	-0.008	1.304	1.297
8.020	0.018	0.000	1.160	1.342
8.040	0.025	0.011	1.034	1.342
8.060	0.030	0.013	0.991	1.260
8.080	0.030	0.009	1.047	1.177
8.100	0.025	0.003	1.149	1.169
8.120	0.019	-0.003	1.245	1.274
8.140	0.016	-0.006	1.308	1.447
8.160	0.019	0.001	1.342	1.578
8.180	0.028	0.012	1.365	1.578
8.200	0.032	0.011	1.376	1.459
8.220	0.032	0.005	1.357	1.322
8.240	0.025	0.002	1.289	1.252
8.260	0.018	-0.004	1.176	1.239
8.280	0.015	-0.005	1.047	1.212
8.300	0.018	0.003	0.940	1.128
8.320	0.027	0.011	0.882	1.016
8.340	0.030	0.009	0.891	0.978
8.360	0.029	0.006	0.985	1.101
8.380	0.022	0.003	1.150	1.337
8.400	0.016	-0.002	1.353	1.570
8.420	0.015	-0.002	1.535	1.688
8.440	0.021	0.005	1.618	1.649
8.460	0.029	0.012	1.547	1.496
8.480	0.031	0.010	1.319	1.308
8.500	0.027	0.005	1.011	1.146
8.520	0.021	0.002	0.744	1.024
8.540	0.016	-0.004	0.629	0.943
8.560	0.017	-0.004	0.691	0.902
8.580	0.024	0.006	0.889	0.946
8.600	0.029	0.012	1.140	1.105
8.620	0.029	0.011	1.346	1.322
8.640	0.023	0.009	1.457	1.506
8.660	0.017	0.004	1.453	1.566
8.680	0.015	-0.003	1.360	1.478
8.700	0.019	-0.002	1.217	1.311
8.720	0.028	0.006	1.049	1.142
8.740	0.031	0.011	0.890	1.023
8.760	0.028	0.009	0.769	0.957
8.780	0.021	0.005	0.718	0.928
8.800	0.016	0.000	0.755	0.939
8.820	0.015	-0.005	0.871	1.004
8.840	0.022	-0.003	1.042	1.142
8.860	0.030	0.009	1.235	1.336
8.880	0.032	0.014	1.411	1.517
8.900	0.026	0.010	1.524	1.607
8.920	0.018	0.007	1.537	1.562
8.940	0.013	0.000	1.432	1.406
8.960	0.014	-0.005	1.228	1.214
8.980	0.022	-0.001	0.983	1.055
9.000	0.029	0.009	0.780	0.962
9.020	0.031	0.010	0.688	0.919
