HBM_CATMAN_DATAFILE_40
test kommentar
4/16/2011
17:20
CHANNELS: 5
SEPARATOR: 9
MAXLINES: 400                

Time DEVICE_1 (Sample rate 1)	F8111	F8113	F8114	F8116
s	N	N	N	N
4/16/2011-17:20	4/16/2011-17:20	4/16/2011-17:20	4/16/2011-17:20	4/16/2011-17:20
				
T0 =16.04.11 17:20:25	T0 =16.04.11 17:20:25	T0 =16.04.11 17:20:25	T0 =16.04.11 17:20:25	T0 =16.04.11 17:20:25
dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms	dt =20 ms
CH 0	CH 1	CH 2	CH 3	CH 4
Serial No. (Electronics / CP)Not available	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)900059039101 / 801043597140	Serial No. (Electronics / CP)901905018104 / 	Serial No. (Electronics / CP)901905015104 / 
Not available ID=0	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006	ML10 ID=5006
Not available ID=0	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	AP 01 i ID=5530	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500	Default connector plate (AP 01/03/04/07/11/12/13) ID=5500
Not available ID=0	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358	Full bridge (low level) ID=358
x1=0 y1=0;x2=0 y2=0	x1=0.2111 y1=0;x2=2.2111 y2=-55.3	x1=0.7379 y1=0;x2=2.7379 y2=-77.02	x1=0.6193 y1=0;x2=2.6193 y2=-68.43999	x1=-0.468 y1=0;x2=1.532 y2=-56.14
         (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)	mV/V     (Electr.)
         (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)	N        (Engin.)
0  Nominal value	-55.3 N Nominal value	-77.02 N Nominal value	-68.43999 N Nominal value	-56.14 N Nominal value
Not available ID=0	Net signal ID=215	Net signal ID=215	Net signal ID=215	Net signal ID=215
Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0	Scaling = Engineering units ID=0
Not available ID=0	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14	5 V excitation ID=14
Filter = Not available ID=0	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141	Filter = Butterworth lowpass ID=141
fg = Not available ID=0	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935	fg = 5 Hz ID=935
0  Zero	0 N Zero	0 N Zero	0 N Zero	0 N Zero
0  Tare	8.7105 N Tare	7.9575 N Tare	7.777 N Tare	7.9639 N Tare
0  Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero	0 N Software-Zero
Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0	Gage factor = 0
Bridge factor = 0	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1	Bridge factor = 1
Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None	Software scaling: None
Sensor: None	Sensor: None	Sensor: None	Sensor: None	Sensor: None
Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None	Sensor T-ID: None
Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available	Cable length correction Not available

0.000	0.006	0.004	0.248	-0.018
0.020	0.005	0.003	0.244	-0.013
0.040	0.004	0.001	0.238	-0.006
0.060	0.004	-0.001	0.234	-0.010
0.080	0.004	-0.002	0.233	-0.024
0.100	0.005	0.000	0.229	-0.037
0.120	0.006	0.002	0.220	-0.040
0.140	0.006	0.004	0.211	-0.033
0.160	0.005	0.003	0.206	-0.022
0.180	0.004	0.001	0.213	-0.014
0.200	0.004	-0.001	0.232	-0.011
0.220	0.004	-0.001	0.256	-0.003
0.240	0.005	0.001	0.278	0.018
0.260	0.005	0.003	0.295	0.052
0.280	0.005	0.004	0.310	0.083
0.300	0.005	0.003	0.328	0.097
0.320	0.004	0.000	0.348	0.092
0.340	0.004	-0.002	0.362	0.082
0.360	0.004	-0.002	0.363	0.085
0.380	0.005	0.000	0.355	0.099
0.400	0.005	0.003	0.349	0.111
0.420	0.005	0.003	0.355	0.106
0.440	0.004	0.001	0.375	0.087
0.460	0.004	-0.001	0.402	0.071
0.480	0.004	-0.002	0.421	0.078
0.500	0.004	-0.001	0.426	0.111
0.520	0.004	0.001	0.422	0.149
0.540	0.005	0.003	0.417	0.163
0.560	0.005	0.002	0.419	0.145
0.580	0.005	0.000	0.423	0.105
0.600	0.004	-0.002	0.421	0.074
0.620	0.004	-0.003	0.403	0.071
0.640	0.003	-0.001	0.375	0.094
0.660	0.004	0.001	0.350	0.118
0.680	0.005	0.003	0.340	0.119
0.700	0.006	0.002	0.343	0.097
0.720	0.005	0.000	0.351	0.070
0.740	0.004	-0.001	0.353	0.056
0.760	0.003	-0.001	0.346	0.063
0.780	0.003	0.000	0.333	0.080
0.800	0.005	0.002	0.320	0.091
0.820	0.006	0.003	0.312	0.083
0.840	0.006	0.001	0.311	0.058
0.860	0.006	-0.001	0.311	0.032
0.880	0.004	-0.002	0.308	0.018
0.900	0.003	-0.001	0.299	0.019
0.920	0.004	0.001	0.285	0.031
0.940	0.005	0.002	0.273	0.040
0.960	0.007	0.002	0.266	0.033
0.980	0.007	0.001	0.267	0.013
1.000	0.006	-0.001	0.267	-0.009
1.020	0.004	-0.001	0.260	-0.019
1.040	0.003	0.000	0.246	-0.014
1.060	0.004	0.001	0.230	-0.004
1.080	0.005	0.003	0.216	0.001
1.100	0.007	0.003	0.208	-0.006
1.120	0.007	0.001	0.206	-0.020
1.140	0.005	-0.001	0.209	-0.030
1.160	0.003	-0.002	0.215	-0.032
1.180	0.003	-0.001	0.224	-0.023
1.200	0.004	0.001	0.238	-0.007
1.220	0.005	0.002	0.258	0.009
1.240	0.006	0.002	0.283	0.024
1.260	0.006	0.000	0.310	0.036
1.280	0.004	-0.001	0.332	0.048
1.300	0.003	-0.001	0.344	0.061
1.320	0.003	0.000	0.348	0.073
1.340	0.004	0.001	0.348	0.076
1.360	0.006	0.003	0.350	0.068
1.380	0.006	0.002	0.355	0.057
1.400	0.006	0.000	0.361	0.055
1.420	0.004	-0.002	0.364	0.067
1.440	0.003	-0.002	0.369	0.085
1.460	0.003	0.000	0.378	0.097
1.480	0.004	0.001	0.393	0.099
1.500	0.006	0.002	0.408	0.097
1.520	0.006	0.001	0.415	0.101
1.540	0.005	-0.001	0.409	0.115
1.560	0.003	-0.002	0.394	0.131
1.580	0.002	-0.002	0.377	0.135
1.600	0.003	-0.001	0.367	0.117
1.620	0.005	0.001	0.365	0.088
1.640	0.006	0.002	0.367	0.068
1.660	0.006	0.001	0.366	0.072
1.680	0.005	-0.001	0.363	0.098
1.700	0.003	-0.001	0.363	0.124
1.720	0.003	-0.001	0.371	0.128
1.740	0.004	0.000	0.384	0.110
1.760	0.005	0.002	0.391	0.087
1.780	0.006	0.002	0.383	0.077
1.800	0.005	0.001	0.359	0.082
1.820	0.004	0.000	0.331	0.088
1.840	0.003	-0.001	0.309	0.074
1.860	0.003	-0.001	0.299	0.043
1.880	0.004	0.000	0.295	0.011
1.900	0.006	0.002	0.290	-0.003
1.920	0.006	0.003	0.280	0.009
1.940	0.005	0.002	0.267	0.034
1.960	0.003	0.000	0.260	0.049
1.980	0.003	-0.001	0.261	0.039
2.000	0.003	-0.001	0.267	0.011
2.020	0.005	0.001	0.269	-0.015
2.040	0.006	0.002	0.262	-0.023
2.060	0.006	0.002	0.251	-0.011
2.080	0.004	0.001	0.243	0.004
2.100	0.003	-0.001	0.246	0.011
2.120	0.003	-0.002	0.258	0.005
2.140	0.004	-0.002	0.274	-0.003
2.160	0.005	0.000	0.285	-0.001
2.180	0.006	0.002	0.289	0.015
2.200	0.005	0.003	0.290	0.035
2.220	0.004	0.001	0.293	0.042
2.240	0.003	-0.001	0.299	0.038
2.260	0.003	-0.002	0.301	0.030
2.280	0.005	-0.001	0.297	0.028
2.300	0.006	0.001	0.290	0.036
2.320	0.006	0.003	0.285	0.045
2.340	0.005	0.003	0.290	0.048
2.360	0.004	0.001	0.305	0.043
2.380	0.003	-0.001	0.324	0.043
2.400	0.003	-0.002	0.338	0.055
2.420	0.005	-0.001	0.346	0.081
2.440	0.006	0.001	0.351	0.106
2.460	0.006	0.003	0.360	0.115
2.480	0.005	0.002	0.374	0.105
2.500	0.003	0.000	0.390	0.087
2.520	0.002	-0.001	0.398	0.079
2.540	0.003	-0.002	0.395	0.089
2.560	0.004	0.000	0.382	0.112
2.580	0.005	0.002	0.369	0.128
2.600	0.006	0.003	0.364	0.124
2.620	0.005	0.001	0.367	0.099
2.640	0.003	-0.001	0.374	0.071
2.660	0.003	-0.002	0.376	0.060
2.680	0.003	-0.002	0.367	0.074
2.700	0.005	0.000	0.353	0.098
2.720	0.006	0.002	0.347	0.108
2.740	0.006	0.002	0.352	0.091
2.760	0.005	0.001	0.363	0.061
2.780	0.003	-0.001	0.366	0.042
2.800	0.002	-0.001	0.353	0.046
2.820	0.003	0.000	0.330	0.065
2.840	0.004	0.001	0.307	0.076
2.860	0.005	0.003	0.297	0.062
2.880	0.006	0.002	0.299	0.031
2.900	0.004	0.001	0.304	0.006
2.920	0.003	-0.001	0.303	0.004
2.940	0.002	-0.001	0.297	0.021
2.960	0.003	0.000	0.289	0.041
2.980	0.005	0.001	0.286	0.046
3.000	0.006	0.002	0.290	0.032
3.020	0.006	0.002	0.296	0.013
3.040	0.004	0.000	0.299	0.005
3.060	0.003	-0.001	0.294	0.012
3.080	0.003	0.000	0.286	0.027
3.100	0.004	0.000	0.285	0.035
3.120	0.006	0.002	0.290	0.032
3.140	0.007	0.002	0.298	0.025
3.160	0.006	0.002	0.301	0.019
3.180	0.004	0.000	0.296	0.020
3.200	0.002	0.000	0.287	0.026
3.220	0.002	0.000	0.278	0.033
3.240	0.004	0.000	0.272	0.034
3.260	0.006	0.001	0.273	0.028
3.280	0.006	0.002	0.278	0.023
3.300	0.005	0.001	0.287	0.024
3.320	0.003	0.000	0.296	0.034
3.340	0.002	0.000	0.307	0.046
3.360	0.002	0.000	0.321	0.056
3.380	0.004	0.001	0.335	0.058
3.400	0.006	0.001	0.349	0.057
3.420	0.007	0.002	0.364	0.062
3.440	0.005	0.001	0.375	0.072
3.460	0.003	0.000	0.383	0.082
3.480	0.002	-0.001	0.388	0.085
3.500	0.002	-0.001	0.394	0.081
3.520	0.004	-0.001	0.396	0.078
3.540	0.006	0.000	0.394	0.080
3.560	0.006	0.001	0.389	0.088
3.580	0.004	0.000	0.385	0.097
3.600	0.002	-0.001	0.381	0.103
3.620	0.002	-0.002	0.376	0.103
3.640	0.003	-0.001	0.371	0.100
3.660	0.005	0.000	0.367	0.096
3.680	0.006	0.001	0.363	0.096
3.700	0.006	0.001	0.356	0.098
3.720	0.004	0.000	0.348	0.098
3.740	0.002	-0.001	0.342	0.090
3.760	0.002	-0.001	0.337	0.077
3.780	0.003	-0.001	0.330	0.065
3.800	0.005	0.001	0.319	0.057
3.820	0.006	0.001	0.309	0.052
3.840	0.005	0.001	0.305	0.052
3.860	0.003	0.000	0.311	0.052
3.880	0.002	-0.001	0.323	0.050
3.900	0.002	-0.001	0.334	0.047
3.920	0.004	0.000	0.340	0.046
3.940	0.006	0.001	0.338	0.045
3.960	0.006	0.002	0.326	0.043
3.980	0.005	0.002	0.309	0.036
4.000	0.003	0.001	0.295	0.021
4.020	0.002	-0.001	0.289	0.004
4.040	0.003	-0.001	0.289	-0.006
4.060	0.004	0.000	0.289	-0.005
4.080	0.006	0.001	0.290	0.010
4.100	0.005	0.001	0.295	0.030
4.120	0.004	0.001	0.305	0.042
4.140	0.002	0.000	0.314	0.041
4.160	0.002	-0.001	0.318	0.033
4.180	0.003	0.000	0.316	0.030
4.200	0.004	0.001	0.308	0.032
4.220	0.005	0.002	0.301	0.032
4.240	0.005	0.002	0.298	0.027
4.260	0.003	0.001	0.303	0.024
4.280	0.002	0.000	0.315	0.028
4.300	0.002	-0.001	0.328	0.037
4.320	0.003	0.000	0.336	0.052
4.340	0.005	0.001	0.341	0.069
4.360	0.005	0.001	0.346	0.081
4.380	0.004	0.002	0.353	0.084
4.400	0.003	0.001	0.358	0.082
4.420	0.002	-0.001	0.362	0.079
4.440	0.002	-0.001	0.361	0.078
4.460	0.003	-0.001	0.354	0.079
4.480	0.005	0.000	0.345	0.076
4.500	0.005	0.001	0.341	0.075
4.520	0.005	0.001	0.347	0.074
4.540	0.003	0.001	0.360	0.076
4.560	0.002	0.000	0.372	0.079
4.580	0.002	-0.001	0.378	0.085
4.600	0.004	0.000	0.378	0.091
4.620	0.005	0.001	0.375	0.093
4.640	0.005	0.002	0.369	0.088
4.660	0.004	0.001	0.363	0.074
